,Country/Region,Lat,Long,total,normal,2020
41,Denmark,189.8634,-40.014300000000006,176879,0.030332146426486656,5831404.0
83,Kuwait,29.31166,47.481766,132226,0.030962193977702706,4270563.0
1,Albania,41.1533,20.1683,88375,0.03114270742628913,2837743.0
89,Liechtenstein,47.14,9.55,1188,0.031150850879723104,38137.0
117,Oman,21.512583,55.923255,174416,0.03415486793422345,5106622.0
36,Costa Rica,9.7489,-83.7534,174561,0.03426719543378888,5094114.0
129,Russia,61.52401,105.318756,4952659,0.034368624399808805,144104080.0
61,Guatemala,15.7835,-90.2308,587281,0.03483624389196725,16858333.0
44,Dominican Republic,18.7357,-70.1627,380121,0.03504096275188276,10847904.0
57,Germany,51.165691,10.451526,2936861,0.03528162514592502,83240525.0
74,Israel,31.046051,34.851612,339051,0.03678579565797611,9216900.0
125,Poland,51.9194,19.1451,1422334,0.03747836475234437,37950802.0
38,Croatia,45.1,15.2,156885,0.03876383672662582,4047200.0
9,Austria,47.5162,14.5501,356445,0.039972726880227606,8917205.0
72,Iraq,33.223191,43.679291,1623028,0.04035124318344883,40222503.0
66,Honduras,15.2,-86.2419,412628,0.041660205027801205,9904608.0
67,Hungary,47.1625,19.5033,452473,0.046408615265827485,9749763.0
146,South Africa,-30.5595,22.9375,2968151,0.05004580273143784,59308690.0
24,Bulgaria,42.7339,25.4858,347789,0.05020565046523257,6927288.0
143,Slovenia,46.1512,14.9955,118309,0.056334238993279454,2100126.0
126,Portugal,39.3999,-8.2245,615356,0.05971104541197357,10305564.0
29,Canada,708.8555999999999,-1202.5979,2417138,0.06360012796130891,38005238.0
128,Romania,45.9432,24.9668,1248293,0.06472493201458894,19286123.0
82,Kosovo,42.602636,20.902977,118677,0.06684604630675833,1775378.0
91,Luxembourg,49.8153,6.1296,43539,0.06886085959432209,632275.0
105,Montenegro,42.708678,19.37439,45312,0.0728819175253089,621718.0
71,Iran,32.427908,53.688046,6222225,0.07408032195272382,83992953.0
20,Bosnia and Herzegovina,43.9159,17.6791,250835,0.07645508814120881,3280815.0
153,Switzerland,46.8182,8.2275,706247,0.08177092788890823,8636896.0
6,Argentina,-38.4161,-63.6167,3802826,0.08380558128397127,45376763.0
7,Armenia,40.0691,45.0382,248551,0.08387828973344663,2963234.0
34,Colombia,4.5709,-74.2973,4585410,0.0901169438430416,50882884.0
73,Ireland,53.1424,-7.6921,460986,0.09229458925057721,4994724.0
115,North Macedonia,41.6086,21.7453,194153,0.0931913525137037,2083380.0
110,Netherlands,107.0442,-264.9603,1819710,0.10433435568628861,17441139.0
120,Panama,8.538,-80.7821,451068,0.10454049904884805,4314768.0
19,Bolivia,-16.2902,-63.5887,1235173,0.10581426637422044,11673029.0
102,Moldova,47.4116,28.3699,295184,0.11275947162142547,2617820.0
101,Mexico,23.6345,-102.5528,15017707,0.11647705218859322,128932753.0
45,Ecuador,-1.8312,-78.1834,2063529,0.11695981309364702,17643060.0
32,Chile,-35.6751,-71.543,2404918,0.12580517402796756,19116209.0
22,Brazil,-14.235,-51.9253,27071858,0.1273613721799537,212559409.0
54,France,77.103595,-118.07561399999997,9284565,0.1377703969020938,67391582.0
152,Sweden,60.128161,18.643501,1438568,0.13894586940265855,10353442.0
163,US,40.0,-100.0,46894953,0.1423284150174362,329484123.0
167,United Kingdom,262.08319800000004,-497.28056599999996,11467727,0.17061187250943025,67215293.0
75,Italy,41.87194,12.56738,10582442,0.17769483012088033,59554023.0
148,Spain,40.463667,-3.74922,8720097,0.18415646096780705,47351567.0
3,Andorra,42.5063,1.5218,15492,0.20050475635798873,77265.0
15,Belgium,50.8333,4.469936,2931202,0.25365202154344624,11555997.0
135,San Marino,43.9424,12.4578,12031,0.354499381224586,33938.0
123,Peru,-9.19,-75.0152,15276634,0.46332358825162534,32971846.0
48,Eritrea,15.1794,39.7823,12,,
