,Country/Region,Lat,Long,confirm_total,death_total,recovered_total,2020,active
153,Switzerland,46.8182,8.2275,758984,10950,317600,8636896.0,430434
154,Syria,34.802075,38.996815,27003,1977,22019,17500657.0,3007
155,Tajikistan,38.861,71.2761,16514,124,15508,9537642.0,882
156,Tanzania,-6.369028,34.888822,1367,50,183,59734213.0,1134
157,Thailand,15.870032,100.992541,1066786,9562,37937,69799978.0,1019287
158,Timor-Leste,-8.874217,125.727539,14403,49,11269,1318442.0,3085
159,Togo,8.6195,0.8248,19702,173,14654,8278737.0,4875
160,Trinidad and Tobago,10.6918,-61.2225,43145,1237,33349,1399491.0,8559
161,Tunisia,33.886917,9.537499,642788,22609,530545,11818618.0,89634
162,Turkey,38.9637,35.2433,6234490,54765,5478185,84339067.0,701540
163,US,40.0,-100.0,37935465,629406,11060515,329484123.0,26245544
164,Uganda,1.373333,32.290275,118777,2960,87897,45741000.0,27920
165,Ukraine,48.3794,31.1656,2369339,56526,2258433,44134693.0,54380
166,United Arab Emirates,23.424076,53.847818,710438,2024,664130,9890400.0,44284
167,United Kingdom,262.08319800000004,-497.28056599999996,6555419,132000,26611,67215293.0,6396808
168,Uruguay,-32.5228,-55.7658,384181,6016,375018,3473727.0,3147
169,Uzbekistan,41.377491,64.585262,149876,1028,126377,34232050.0,22471
170,Vanuatu,-15.3767,166.9592,4,1,3,307150.0,0
171,Vietnam,14.058324,108.277199,358456,8666,55454,97338583.0,294336
172,West Bank and Gaza,31.9522,35.2332,327634,3642,312428,4803269.0,11564
173,Zambia,-13.133897,27.849332,204651,3578,189658,18383956.0,11415
174,Zimbabwe,-19.015438,29.154857,123001,4293,82994,14862927.0,35714
